Era,Name,Notes,Designer,Art Type,Image,Project Type,Use,Link(s)
"nostalgia, ULTRA.",Novacane,"“Novacane” was Frank Ocean’s debut solo single, released by Island Def Jam on May 31, 2011. The title on the single artwork is stylized in all lowercase, combining Cooper Black & Orator fonts and replacing the second letter “A” with a Greek letter Delta. The model on the cover has not been identified. She appears to be laying out on a lawn, possibly at a music festival like Coachella, taking inspiration from the song’s lyrics.",???,Photo,,Front Cover,Used,/frankgold/art/novacane.jpg
"nostalgia, ULTRA.",Novacane [Clean],Clean cover version for Novacane.,???,Photo,,Front Cover,Alternate,/frankgold/art/novacane-clean.jpg
"nostalgia, ULTRA.",Swim Good,"“Swim Good” was Frank Ocean’s second solo single, released by Island Def Jam on October 18, 2011. The cover features an underwater photo by Brick Stowell, depicting Ocean wearing a kimono—a traditional Japanese garment—while partially submerged in a swimming pool. The song title on the artwork is stylized in all uppercase; beneath it are the Japanese characters 良い (yoi/-i, good) and 泳ぐ (oyogu, to swim), translated literally as “Swim Good:” 良い泳ぐ",???,Photo,,Front Cover,Used,/frankgold/art/swim-good.jpg
channel ORANGE,Blue Whale,Cover for Blue Whale that released through Frank's tumblr blog in December 2011.,???,Digital,,Front Cover,Used,/frankgold/art/blue-whale.jpg
channel ORANGE,Blue Whale [OG],Color difference and quality change.,???,Digital,,Front Cover,Unused,/frankgold/art/blue-whale-og.jpg
channel ORANGE,Channel Orange (Tumblr),"Explicit Tumblr version of the channel ORANGE cover art. After the critically acclaimed buzz surrounding his debut mixtape under the Frank Ocean moniker, nostalgia,ULTRA., Ocean first premiered the artwork for channel ORANGE on his Tumblr with this post and the tracklist with this post, although he’d later grab the headlines through this post, which would later be known as his “open letter.” In what we can now suppose is Ocean’s signature style, the album’s title is central to the album art, with the first word in lowercase and the second in uppercase. Both covers (nostalgia,ULTRA. & channel ORANGE) also have stylistically similar fonts.","Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Front Cover,Used,/frankgold/art/channel-orange-tumblr.jpg
channel ORANGE,Channel Orange (Tumblr) [Clean],Clean Tumblr version of the channel ORANGE cover art.,"Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Front Cover,Alternate,/frankgold/art/channel-orange-tumblr-clean.jpg
channel ORANGE,Channel Orange (Streaming),Better version of the channel ORANGE cover only for streaming services. Used different shade of orange and PA tag.,"Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Front Cover,Used,/frankgold/art/channel-orange-streaming.jpg
channel ORANGE,Channel Orange (Streaming) [Clean],Streaming version of channel ORANGE cover without the PA tag.,"Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Front Cover,Alternate,/frankgold/art/channel-orange-streaming-clean.jpg
channel ORANGE,Channel Orange (Tumblr) [Tracklist],"Tumblr version of channel ORANGE tracklist. On June 23, 2012, Frank Ocean posted an image on Tumblr of the back cover & tracklist of channel ORANGE. The post followed the CD release on July 17, 2012, a week after the album’s digital release.","Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Back Cover,Used,/frankgold/art/channel-orange-tumblr-tracklist.png
channel ORANGE,Channel Orange (Streaming) [Tracklist],Streaming version of channel ORANGE tracklist.,"Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Back Cover,Used,/frankgold/art/channel-orange-streaming-tracklist.png
channel ORANGE,Thinkin Bout You,"Frank Ocean released “Thinkin Bout You” as the lead single of his debut studio album channel ORANGE on April 17, 2012. The single artwork features Raymond Buck, long-time friend of Frank Ocean, sitting at an arcade racing machine. This follows the nostalgic, video game-thematics of channel ORANGE. Buck performed additional vocals on the album’s opening track, “Start,” which features the startup chime of a Sony PlayStation. Buck later appeared in Ocean’s 2016 magazine Boys Don’t Cry, in a photoshoot titled “Crouching Tiger, Hidden Water Moccasin” on pages 240–253. Ocean also mentioned him in the first verse of “These Days,” a song intended for release on 7-inch vinyl in February 2020 that leaked online in May 2023.",Frank Ocean?,Photo,,Front Cover,Used,/frankgold/art/thinkin-bout-you.jpg
channel ORANGE,Pyramids,"On June 8, 2012, Frank Ocean shared a two-minute teaser video in a since-deleted Tumblr post promoting his upcoming album channel ORANGE; the promo featured the song “Pyramids” and announced the album’s in-store release date as July 17, 2012. Immediately after posting the video, Ocean shared an MP3 file of the song and an image with upcoming tour dates. Following the album’s digital release on July 10, 2012, Best Buy published an alternate 30-second version of the ad featuring branding from both Best Buy & Apple iTunes.",???,Digital,,Front Cover,Used,/frankgold/art/pyramids.jpg
channel ORANGE,Sweet Life,"Frank Ocean released “Sweet Life” as the third single from his debut studio album channel ORANGE on July 6, 2012, four days before the album’s digital release. Ocean posted the track on Soundcloud & Tumblr.",???,Photo,,Front Cover,Used,/frankgold/art/sweet-life.png
channel ORANGE,Sweet Life [OG],Has slight color differences and overall quality change.,???,Photo,,Front Cover,Unused,/frankgold/art/sweet-life-og.jpg
channel ORANGE,Sweet Life,Full resolution cover of Sweet Life.,???,Photo,,Front Cover,Unused,/frankgold/art/sweet-life.png
channel ORANGE,Sweet Life [OG],Full resolution cover of the OG Sweet Life cover.,???,Photo,,Front Cover,Unused,/frankgold/art/sweet-life-og.png
channel ORANGE,Lost [CD],Used on the promotional CD and RIAA certification plaque.,,Photo,,Front Cover,Used,/frankgold/art/lost-cd.jpg
channel ORANGE,channel ORANGE Tour,"Leading up to the album’s release on July 10, Frank Ocean announced his 2012 channel ORANGE tour with a poster shared to his Tumblr on June 8. The post led to a webpage listing dates & locations of shows across the US & Canada with links to purchase tickets.","Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Digital,,Promo Art,Used,/frankgold/art/channel-orange-tour.jpg
channel ORANGE,Channel Orange Booklet,Booklet made for channel orange merch.,"Thomas Mastorakos, Aaron Martinez, & Phil Toselli",Photo,,Booklet,Used,/frankgold/art/channel-orange-booklet.png
channel ORANGE,Wise Man,"After posting the song on December 23, 2012, Frank Ocean immediately followed with a second Tumblr post of an image containing the lyrics to “Wise Man.”",Frank Ocean,Digital,,Other,Used,/frankgold/art/wise-man.png
blonde,Memrise,Single cover for Memrise released through Frank's tumblr in November 2014.,Frank Ocean,Photo,,Front Cover,Used,/frankgold/art/memrise.jpg
blonde,Memrise [OG],Full crop cover art for Memrise.,Frank Ocean,Photo,,Front Cover,Unused,/frankgold/art/memrise-og.jpg
Endless,You Are Luhh,Single cover for You Are Luhh released through Frank's tumblr in January 2015.,Frank Ocean,Photo,,Front Cover,Used,/frankgold/art/you-are-luhh.jpg
Endless,Endless [V1] (Front Stickers),"Frank Ocean shifted the focus back to his visual album Endless in late 2017 by giving the formerly Apple Music-exclusive project a full, CD-quality release on Cyber Monday, November 27, 2017. Endless was available for purchase on blonded.co in CD+DVD, LP, and VHS formats, alongside two double-sided posters featuring behind-the-scene photos from the filming of the visual album. The 2017 LP reissue of Endless by Frank Ocean features packaging & layout design by Kevin McCaughey, graphic design by Michel Egger, photography by Thomas Mastorakos, and additional graphics by Kia Tasbihgou & Joe Thornalley. The vinyl jacket contains monochromatic text & images that resemble the original project’s artwork, adorned with several new graphics etched into a silver-colored, reflective material under a layer of iridescent film.",Thomas Mastorakos,Digital,,Front Cover,Used,/frankgold/art/endless-v1-front-stickers.jpg
Endless,Endless LP Cover,The Endless cover used without stickers.,Thomas Mastorakos,Digital,,Front Cover,Used,/frankgold/art/endless-lp-cover.jpg
Endless,Endless [V1] (Back),"The back cover of the 2017 LP reissue of Endless by Frank Ocean. The photograph captures Ocean in the early stages of constructing a spiral staircase, as depicted in the visual album, filmed at the M. Blumberg warehouse in Brooklyn, New York. The single-pocket jacket contains two LPs. The release is not outwardly marked with copyright information or branding.",Thomas Mastorakos,Digital,,Back Cover,Used,/frankgold/art/endless-v1-back.jpg
Endless,Endless [V1] CD,"The 2017 CD+DVD reissue of Endless by Frank Ocean features packaging & layout design by Kevin McCaughey, graphic design by Michel Egger, photography by Thomas Mastorakos, and additional graphics by Kia Tasbihgou & Joe Thornalley. The iridescent graphics consist of various Endless-themed iconography; the small text on the center-left graphic includes the reissue’s catalog number & barcode, “602557139785,” registered to the publisher EMI, and the banner across the top indicates a remastered CD-audio experience compared to its original release.",Thomas Mastorakos,Digital,,Front Cover,Used,/frankgold/art/endless-v1-cd.jpg
Endless,Endless (Lyric Sheet Side A),"The inner sleeves from the 2017 LP reissue of Endless by Frank Ocean. The two LPs are housed in a black sleeve with lyrics and images printed on either side. Side A of the inner sleeve contains song lyrics and stills from the visual album. On the bottom right, the second verse of “Hublots” is erroneously listed with the instrumental track “In Here Somewhere.” The title of “In Here Somewhere” is derived from the instrumental’s sample of Jazmine Sullivan’s verse on “Hublots,” not its direct appearance on the track. No vocal performances are credited to “In Here Somewhere,” only instrumentation.",Thomas Mastorakos,Digital,,Other,Used,/frankgold/art/endless-lyric-sheet-side-a.jpg
Endless,Endless (Lyric Sheet Side B),"Side B of the inner sleeve from the 2017 LP reissue of Endless by Frank Ocean. The photographs depict Ocean wearing painter’s coveralls, mirroring a scene from the visual album where he paints each step of the soon-to-be staircase.",Thomas Mastorakos,Digital,,Other,Alternate,/frankgold/art/endless-lyric-sheet-side-b.jpg
Endless,Endless (Lyric Sheet Side C),"Side C of the inner sleeve from the 2017 LP reissue of Endless by Frank Ocean. The vinyl sleeve features song lyrics and stills from the visual album. Positioned on the right stands an impressive audio equipment rack, bearing a stern warning: “DON’T F***ING TOUCH!” This rack is a realm where audio engineers meticulously choreograph the harmonious interplay of signals from each microphone & instrument, utilizing the console’s intricate assortment of knobs & faders. Any unauthorized adjustments to this delicate equilibrium are almost certain to incite discord. The identifiable components on the stack include the Rane MP2 (Mixer Preamp), the Carvin EQ2015 (Equalizer), the Tascam 112 MKII (Cassette Recorder), and an array of other top-tier studio equipment.",Thomas Mastorakos,Digital,,Other,Used,/frankgold/art/endless-lyric-sheet-side-c.jpg
Endless,Endless (Lyric Sheet Side D),Side D of the inner sleeve from the 2017 LP reissue of Endless by Frank Ocean. The photograph shows Ocean wearing a T-shirt from David Bowie’s 1990 Sound+Vision Tour.,Thomas Mastorakos,Digital,,Other,Alternate,/frankgold/art/endless-lyric-sheet-side-d.jpg
Endless,Endless (VHS),VHS Cover for Endless,Thomas Mastorakos,Digital,,Front Cover,Used,/frankgold/art/endless-vhs.jpg
Endless,Endless (VHS) [Back],Back cover for VHS Endless,Thomas Mastorakos,Digital,,Back Cover,Used,/frankgold/art/endless-vhs-back.jpg
Endless,Endless [V2],"The official artwork for Frank Ocean’s Endless was released by Apple Music during episode 006 of blonded RADIO, Ocean’s online radio show on Apple Music 1. The cover depicts the empty warehouse in which he staged the visual component of the album. In the visual album, Ocean completes a set of spiraling stairs. By placing the headphones on the third spot, Frank might be suggested that he wants Endless to be considered Ocean’s third album, after the 2011 mixtape nostalgia, ULTRA and the 2012 studio album channel ORANGE. The headphone rack is attached to the left side of Toyan’s Arsenal, a 12' × 8' boombox built by Tom Sachs that appears in the visual album.",Thomas Mastorakos,Digital,,Front Cover,Used,/frankgold/art/endless-v2.jpg
Endless,Endless Promo 1,"The secondary promotional banner artwork for Frank Ocean’s Endless, published by Apple Music, features the title logo superimposed over a fractal still frame of Ocean in painter’s overalls. The banner appeared on the discovery page within Apple Music and in media coverage.",???,Digital,,Promo Art,Used,/frankgold/art/endless-promo-1.png
Endless,Endless Promo 2,"The Endless banner artwork displayed on blonded’s website, blonded.co, during the 2017 Cyber Monday sale.",Thomas Mastorakos,Photo,,Promo Art,Used,/frankgold/art/endless-promo-2.jpg
Endless,Endless Promo 3,"The back of Poster 2 sold by blonded, alongside the reissue of Endless by Frank Ocean, during the 2017 Cyber Monday sale on blonded.co. The double-sided posters were sold for $30 each and measured 24"" × 36"" in size.",Thomas Mastorakos,Photo,,Promo Art,Used,/frankgold/art/endless-promo-3.jpg
Endless,Endless Promo 4,Inverted version of the 2nd endless promo with dissplacement of text.,Thomas Mastorakos,Photo,,Promo Art,Used,/frankgold/art/endless-promo-4.jpg
Endless,Endless Promo 5,"The back of Poster 1 sold by blonded, alongside the reissue of Endless by Frank Ocean, during the 2017 Cyber Monday sale on blonded.co. The photograph depicts Ocean wearing painter’s coveralls, mirroring a scene from the visual album where he paints each step of the staircase-to-be.",Thomas Mastorakos,Photo,,Promo Art,Used,/frankgold/art/endless-promo-5.jpg
Endless,Endless Promo 7,"The front of Poster 1 sold by blonded, alongside the reissue of Endless by Frank Ocean, during the 2017 Cyber Monday sale on blonded.co. Across the bottom, there are various Endless-themed logos and icons (with variations of the word ‘ENDLESS’).",Thomas Mastorakos,Photo,,Promo Art,Used,/frankgold/art/endless-promo-7.jpg
Endless,Endless Apple Music Preview,"The primary promotional banner artwork for Frank Ocean’s Endless, published by Apple Music, features the title logo, designed by Michel Egger, superimposed on a still frame from the visual album. The banner appeared on Ocean’s website, in media coverage, on the discovery page within Apple Music, and on Apple Music’s Twitter.",Thomas Mastorakos,Photo,,Front Cover,Used,/frankgold/art/endless-apple-music-preview.jpg
Endless,Endless VHS Packaging,Packaging display for Endless VHS,Thomas Mastorakos,Photo,,Physical Packaging,Used,/frankgold/art/endless-vhs-packaging.jpg
Endless,Endless Vinyl Packaging,Packaging display for Endless Vinyl,Thomas Mastorakos,Photo,,Physical Packaging,Used,/frankgold/art/endless-vinyl-packaging.jpg
Endless,Endless CD Packaging,"The 2017 LP reissue of Endless by Frank Ocean features packaging & layout design by Kevin McCaughey, graphic design by Michel Egger, photography by Thomas Mastorakos, and additional graphics by Kia Tasbihgou & Joe Thornalley. The vinyl jacket contains monochromatic text & images that resemble the original project’s artwork, adorned with several new graphics etched into a silver-colored, reflective material under a layer of iridescent film. On the front cover, the top photograph captures the empty warehouse depicted in the visual album, where Ocean builds a spiral staircase, filmed at the M. Blumberg warehouse in Brooklyn, New York. In the bottom, partially obscured photo, three numbered boxes hang on a wall in the warehouse, with a pair of headphones attached to the third box; Endless may be considered Ocean’s third album, following the mixtape nostalgia, ULTRA and the studio album channel ORANGE. The headphone rack is attached to the left side of Toyan’s Arsenal, a 12' × 8' boombox built by Tom Sachs that appears in the visual album.",Thomas Mastorakos,Photo,,Physical Packaging,Used,/frankgold/art/endless-cd-packaging.jpg
blonde,Nikes music video Promo,"Apple Music also displayed a banner for Frank Ocean’s “Nikes” within their platform, promoting the release of the music video on August 20, 2016, alongside his long-awaited second studio album Blonde. The artwork included a still frame from the video featuring Ocean wearing a sparkling Balmain jumpsuit supplied by French fashion designer Olivier Rousteing; the title font is based on the Boys Don’t Cry magazine masthead, designed by Zak Group.",???,Photo,,Promo Art,Used,/frankgold/art/nikes-music-video-promo.png
blonde,Blonde,"The portrait of Frank Ocean is a detail of Wolfgang Tillmans, captured in Berlin, Germany, in 2015, and appears as the centerpiece of the primary artwork for Ocean’s studio album Blonde. The image is also used in one of three covers for Boys Don’t Cry magazine, released in companion with the album, and appeared in the magazine’s photographic series “I’m a Morning Person.” Tillmans later republished an unaltered version of the portrait in 2018 under the title “Frank, in the shower.”",Wolfgang Tillmans,Photo,,Front Cover,Used,/frankgold/art/blonde.jpg
blonde,Blonde,Official cover with an added ring and 3 random dots on a shower tile.,Wolfgang Tillmans,Photo,,Front Cover,Alternate,/frankgold/art/blonde.png
blonde,Blonde [V2],"A few of the CDs of Blonde released with Boys Don’t Cry on August 20, 2016, included an alternate version of the ‘helmet cover’ with the word “blonded” instead of “blond,” indicating Frank Ocean might have considered using the past-tense for the album’s title at some point before its release, similarly to how the word is used in the song “Self Control.” In 2017, Ocean’s label Fresh Produce/Boys Don’t Cry changed its name to blonded. Since the release of Blonde, all of Ocean’s music is published under the label, including his Apple Music 1 online radio show blonded RADIO.",Viviane Sassen,Photo,,Front Cover,Alternate,/frankgold/art/blonde-v2.jpg
blonde,Blonde [V2] (OG),OG Version of the V2 cover.,Viviane Sassen,Photo,,Front Cover,Alternate,/frankgold/art/blonde-v2-og.jpg
blonde,Blonde [V3],"The second alternate album artwork for Blonde is the only one of the three to spell the title as “blonde.” Frank Ocean shot the photo in Munich, Germany, circa 2015. It features a man hotboxing in a car, smoking what looks like a joint of marijuana. The image appears on pages 40–41 of Boys Don’t Cry magazine, in a series titled “Glitterboy Down (Best Day Ever).” Ocean later used the photo in the artwork for blonded RADIO, his intermittent Apple Music 1 online radio show, launched in 2017. Other cover art for this album features the word “blond” even though the album is listed as “Blonde” on Apple Music, Spotify, and other music outlets. Additionally, Ocean has referred to the album as both Blond & Blonde on multiple occasions, only adding confusion. The use of two interchangeable spellings certainly seems intentional, and likely centers around Ocean’s bisexuality. People mentioned in the album could be male or female or alien.",Frank Ocean,Photo,,Front Cover,Alternate,/frankgold/art/blonde-v3.jpg
blonde,Blonde Black Friday Vinyl,"On Black Friday, November 25, 2016, Boys Don’t Cry & XL Recordings released a limited edition LP of Frank Ocean’s Blonde, made available for purchase on boysdontcry.co for one day only. The LP sold for $35 and shipped in January 2017. The front cover features a monochromatic version of Blonde’s primary artwork, the design of Michel Egger & Thomas Mastorakos with photography by Wolfgang Tillmans.",Wolfgang Tillmans,Digital,,Front Cover,Used,/frankgold/art/blonde-black-friday-vinyl.jpg
blonde,Blonde Black Friday Vinyl,"The back cover of the 2016 Black Friday LP release of Frank Ocean’s Blonde is the design of Michel Egger & Thomas Mastorakos. The logo at the bottom indicates the LP is manufactured by XL Recordings, a British independent record label Ocean partnered with for the release. The tracks are arranged in four corners as they appear on each side of the accompanying vinyl. The cover lists the song “Night.s” with an alternative spelling to its streaming release. The photograph in the center by Viviane Sassen features Ocean wearing a custom Arai GP-6RC helmet and a hoodie with a reversed NASCAR logo, standing on a racetrack in Tokyo, Japan. The image also appears on page 165 of Boys Don’t Cry magazine, in a series titled “Foxface,” and as one of the three magazine covers, known to fans as the ‘helmet cover.’",Wolfgang Tillmans,Digital,,Back Cover,Used,/frankgold/art/blonde-black-friday-vinyl.jpg
blonde,Nikes [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/nikes-single.jpg
blonde,White Ferrari [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/white-ferrari-single.jpg
blonde,Ivy [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/ivy-single.jpg
blonde,Nights [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/nights-single.jpg
blonde,Self Control [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/self-control-single.jpg
blonde,Both Sides / Chanel [Single],"At some point before the release of Blonde in August 2016, Frank Ocean commissioned London-based type designer Kia Tasbihgou to create artwork for a series of singles, including the songs “Nikes,” “White Ferrari,” “Ivy,” “Nights,” “Self Control,” and “Both Sides” (likely an early name for “Chanel,” released in March 2017, after the release of Blonde). The covers include a catalog number in the top-right corner with the suffix “BDC” (or Boys Don’t Cry, an early name of what became Blonde and the title of Ocean’s magazine, released in companion with the album). Ultimately, “Nikes” was the album’s only single, released as a music video (without Tasbihgou’s artwork). Tasbihgou shared the unused covers on Instagram in March 2017.",Kia Tasbihgou,Digital,,Front Cover,Unused,/frankgold/art/both-sides-chanel-single.jpg
blonded radio,Chanel,Cover for Chanel.,Frank Ocean,Photo,,Front Cover,Used,/frankgold/art/chanel.jpg
blonded radio,Chanel (OG),Has color and texturing difference.,Frank Ocean,Photo,,Front Cover,Unused,/frankgold/art/chanel-og.jpg
blonded radio,Chanel [V2],Cover used on blonded radio.,???,Digital,,Front Cover,Alternate,/frankgold/art/chanel-v2.jpg
blonded radio,Chanel [V2] (OG),Slight darker color.,???,Digital,,Front Cover,Unused,/frankgold/art/chanel-v2-og.jpg
blonded radio,Chanel Promo,Used as promo for blonded radio 2 and Chanel.,Frank Ocean,Photo,,Promo Art,Used,/frankgold/art/chanel-promo.jpg
blonded radio,Chanel Lyrics Sheet,"After premiering the song on blonded RADIO on March 10, 2017, Frank Ocean posted a image to his Tumblr page featuring the track’s artwork & lyrics.",Frank Ocean,Digital,,Promo Art,Used,/frankgold/art/chanel-lyrics-sheet.png
blonded radio,Chanel Lyric Sheet (OG),Has different color filters.,Frank Ocean,Digital,,Promo Art,Unused,/frankgold/art/chanel-lyric-sheet-og.png
blonded radio,Biking [V1],"The person riding the bike on the cover is BMX rider Nate Richter. A day after the song’s release, he posted a portion of the video with “Nigga 1 wheel” as the caption. On March 6, 2018, a podcast posted on No Jumper owner Adam22’s YouTube channel gave further details about how Nate came into contact with Frank, and what happened to the Gucci shoes worn on the cover.",Alycia Bellamy,Photo,,Front Cover,Used,/frankgold/art/biking-v1.png
blonded radio,Biking [V2],Similar to official cover but with less vibrant colors and moved text.,Alycia Bellamy,Photo,,Front Cover,Alternate,/frankgold/art/biking-v2.jpg
blonded radio,Bliking [V3],"On April 10, 2017, two days after the release of “Biking” with episode 003 of blonded RADIO, singer Alycia Bella posted a screenshot to her Instagram story containing text messages between her and Frank Ocean, where Ocean sent two alternate cover artworks for both “Biking,” featuring JAY-Z & Tyler, The Creator, and “Biking (Solo),” later released on May 15, 2017, with episode 006. Ocean initially released the first “Biking” single with this alternate cover before changing it to the final artwork, which features a still frame of BMX rider Nate Richter from the single’s promotional video.",???,Digital,,Front Cover,Alternate,/frankgold/art/bliking-v3.jpg
blonded radio,Bliking (Solo),Alternate cover for Biking (Solo).,???,Digital,,Front Cover,Alternate,/frankgold/art/bliking-solo.png
blonded radio,Biking Promo,Promo for Biking that shows lyrics for Tyler's verse.,???,Digital,,Promo Art,Used,/frankgold/art/biking-promo.png
blonded radio,Lens,Has added texture.,???,Digital,,Front Cover,Used,/frankgold/art/lens.jpg
blonded radio,Lens (OG),Has no texture.,???,Digital,,Front Cover,Unused,/frankgold/art/lens-og.png
blonded radio,Biking (Solo),Official cover for Biking (Solo).,Alycia Bellamy,Photo,,Front Cover,Used,/frankgold/art/biking-solo.jpg
blonded radio,Slide On Me (Young Thug Remix),"The official artwork for “Slide On Me (feat. Young Thug)” accompanied the blonded RADIO-exclusive track during its premiere in episode 005 on Apple Music. Its composition is similar to the monochromatic album artwork and LP lyric sheets for Endless, designed by Michel Egger and Kevin McCaughey, released later in 2017. The remix cover features a photocopied square sheet of black paper with text and images printed in white ink, surrounded by a black background.",Thomas Mastorkos,Digital,,Front Cover,Used,/frankgold/art/slide-on-me-young-thug-remix.jpg
